iter	Passed	Remaining
409	4604	6625
410	4614	6613
411	4626	6603
412	4636	6590
413	4647	6578
414	4658	6566
415	4670	6556
416	4682	6546
417	4695	6537
418	4708	6528
419	4719	6518
420	4732	6508
421	4744	6498
422	4756	6488
423	4769	6479
424	4781	6469
425	4793	6459
426	4805	6448
427	4823	6446
428	4835	6436
429	4845	6423
430	4856	6411
431	4868	6400
432	4880	6390
433	4891	6379
434	4902	6367
435	4913	6356
436	4925	6345
437	4938	6336
438	4950	6325
439	4960	6313
440	4971	6301
441	4981	6289
442	4992	6276
443	5002	6264
444	5013	6252
445	5023	6240
446	5034	6227
447	5044	6215
448	5055	6203
449	5065	6191
450	5076	6179
451	5087	6168
452	5098	6156
453	5109	6145
454	5120	6133
455	5130	6120
456	5141	6108
457	5151	6096
458	5162	6085
459	5174	6073
460	5184	6062
461	5195	6050
462	5206	6039
463	5217	6026
464	5227	6014
465	5237	6002
466	5248	5989
467	5259	5978
468	5269	5966
469	5280	5954
470	5291	5943
471	5301	5930
472	5312	5918
473	5322	5906
474	5333	5895
475	5346	5885
476	5357	5874
477	5368	5862
478	5379	5851
479	5390	5839
480	5401	5828
481	5411	5815
482	5421	5803
483	5434	5793
484	5444	5781
485	5456	5770
486	5466	5758
487	5476	5746
488	5487	5734
489	5497	5722
490	5508	5710
491	5518	5698
492	5529	5686
493	5539	5674
494	5551	5663
495	5562	5652
496	5573	5640
497	5584	5629
498	5594	5616
499	5605	5605
500	5616	5594
501	5627	5583
502	5638	5571
503	5649	5559
504	5661	5548
505	5671	5536
506	5681	5524
507	5693	5513
508	5703	5502
509	5714	5490
510	5725	5478
511	5736	5467
512	5748	5456
513	5758	5444
514	5769	5433
515	5780	5422
516	5791	5410
517	5802	5398
518	5813	5387
519	5824	5376
520	5836	5366
521	5848	5355
522	5866	5350
523	5877	5339
524	5887	5327
525	5899	5316
526	5912	5306
527	5923	5295
528	5933	5283
529	5944	5271
530	5955	5259
531	5965	5248
532	5976	5236
533	5986	5224
534	5997	5212
535	6008	5200
536	6018	5188
537	6028	5177
538	6039	5165
539	6050	5154
540	6062	5143
541	6072	5131
542	6083	5119
543	6093	5107
544	6104	5096
545	6115	5084
546	6126	5073
547	6137	5062
548	6150	5052
549	6161	5041
550	6172	5030
551	6183	5018
552	6194	5006
553	6204	4994
554	6221	4988
555	6232	4977
556	6243	4965
557	6253	4953
558	6264	4942
559	6275	4930
560	6286	4919
561	6297	4908
562	6308	4896
563	6318	4884
564	6329	4873
565	6340	4862
566	6351	4850
567	6361	4838
568	6373	4827
569	6386	4817
570	6398	4806
571	6409	4796
572	6420	4784
573	6431	4772
574	6444	4763
575	6455	4752
576	6468	4742
577	6479	4730
578	6490	4719
579	6501	4707
580	6511	4696
581	6522	4684
582	6533	4673
583	6547	4663
584	6558	4652
585	6570	4641
586	6583	4631
587	6593	4620
588	6604	4608
589	6614	4596
590	6625	4585
591	6636	4573
592	6646	4561
593	6657	4550
594	6668	4539
595	6679	4527
596	6690	4516
597	6700	4504
598	6712	4493
599	6722	4481
600	6733	4470
601	6744	4458
602	6755	4447
603	6766	4436
604	6776	4424
605	6788	4413
606	6799	4402
